year,franchID,Last Year Rank,Last Year Playoff,Last Year W%,Last Year l%,Last Year Points,Last Year GF,Last Year GA,Last Year PIM,EGF,EPPG,EPIM,NewCoach,NumGoalies,EGA,NumPicks,HighPick,Playoff
1983,BUF,3,1,0.3625,0.475,89,315,257,1031,317,67,988,0,2,281,3,5,1
1973,STL,4,1,0.435897436,0.41025641,76,206,248,1195,199,35,1034,0,3,246,1,5,0
1975,DET,4,0,0.5625,0.2875,58,226,300,1078,254,72,1056,1,5,332,1,5,0
1980,WAS,5,0,0.5,0.3375,67,286,317,1198,227,47,1053,0,5,285,1,5,0
1982,WAS,5,0,0.5125,0.325,65,306,283,1932,306,92,1756,0,4,334,1,5,1
1987,PIT,5,0,0.475,0.375,72,319,316,1693,276,68,1574,1,4,284,1,5,0
1999,NYI,5,0,0.585365854,0.292682927,58,194,275,1111,193,53,1078,0,5,236,4,5,0
2001,ANA,5,0,0.5,0.304878049,66,175,198,1136,186,66,1086,1,3,240,1,5,0
2008,TOR,5,0,0.426829268,0.43902439,83,250,293,1087,215,60,1038,0,4,248,1,5,0
1984,MTL,4,1,0.5,0.4375,75,309,262,1371,285,58,1245,1,3,291,2,5,1
1990,PIT,5,0,0.5,0.4,72,342,305,2132,315,86,2034,1,3,353,1,5,1
1991,PHO,5,0,0.5375,0.325,63,251,244,1675,251,74,1647,0,4,279,1,5,1
1992,NYI,5,0,0.4375,0.425,79,335,297,1713,291,75,1700,0,3,289,1,5,1
2007,WAS,5,0,0.487804878,0.341463415,70,242,231,1233,220,67,1099,0,3,264,1,5,1
2011,NYI,5,0,0.475609756,0.365853659,73,203,255,1515,204,47,1394,1,5,248,1,5,0
1972,BUF,6,0,0.551282051,0.205128205,51,257,219,831,187,56,670,0,3,282,1,5,1
1979,VAN,2,1,0.525,0.3125,63,256,281,1134,197,54,953,0,3,288,1,5,1
1986,BUF,5,0,0.4625,0.4625,80,280,308,1608,287,69,1551,1,3,284,1,5,0
2002,PIT,5,0,0.5,0.341463415,69,189,255,1248,184,46,1193,1,3,243,1,5,0
2006,BOS,5,0,0.451219512,0.353658537,74,219,289,1174,209,53,966,1,5,252,1,5,0
1995,TBL,6,0,0.583333333,0.354166667,37,238,248,1040,120,25,1024,0,4,139,1,5,1
1996,DAL,6,0,0.512195122,0.317073171,66,252,198,1652,225,67,1605,0,3,267,1,5,1
1971,BOS,1,1,0.179487179,0.730769231,121,330,204,1156,399,80,1144,0,2,205,2,6,1
1989,CHI,4,1,0.5125,0.3375,66,316,294,2496,295,89,2430,0,5,329,1,6,1
1988,TOR,4,1,0.6125,0.2625,52,259,342,1782,267,53,1527,1,3,341,1,6,0
2009,PHO,4,0,0.475609756,0.43902439,79,225,202,1092,195,48,1012,1,2,242,1,6,1
2010,TBL,4,0,0.43902439,0.414634146,80,247,240,1377,205,62,1272,0,4,247,1,6,1
1998,CAL,5,0,0.5,0.317073171,67,211,234,1859,215,43,1728,0,6,246,1,6,0
2003,SJS,5,0,0.451219512,0.341463415,73,219,183,1112,205,67,1037,0,2,232,2,6,1
1973,BOS,2,1,0.282051282,0.653846154,107,349,221,1097,330,67,1093,1,3,232,1,6,1
1978,PHI,2,1,0.25,0.5625,105,281,248,1668,289,49,1596,0,5,196,3,6,1
1975,TOR,3,1,0.4125,0.3875,78,294,276,1079,269,58,1048,0,3,306,1,6,1
1982,BUF,3,1,0.325,0.4875,93,318,285,1425,282,49,1365,0,3,267,3,6,1
1976,NYR,4,0,0.525,0.3625,67,272,310,911,255,65,893,1,4,331,1,6,0
1980,EDM,4,1,0.4875,0.35,69,328,327,1528,287,59,1459,0,5,313,1,6,1
1999,NAS,4,0,0.573170732,0.341463415,63,199,240,1420,188,40,1372,0,2,253,1,6,0
2008,CBS,4,0,0.43902439,0.414634146,80,226,230,1325,182,50,1239,0,5,201,1,6,1
1981,TOR,5,1,0.4625,0.35,71,298,380,1830,309,80,1756,0,3,361,1,6,0
1983,NJD,5,0,0.6125,0.2125,48,231,350,1270,215,58,999,1,2,335,1,6,0
1987,DAL,5,0,0.5,0.375,70,242,349,1936,296,83,1897,1,3,305,1,6,0
1997,CAL,5,0,0.5,0.390243902,73,217,252,1444,202,60,1392,0,3,233,1,6,0
2001,MIN,5,0,0.475609756,0.304878049,68,195,238,1200,148,31,1107,0,3,206,1,6,0
1993,SJS,6,0,0.845238095,0.130952381,24,252,265,2134,175,58,1783,0,2,409,1,6,1
1974,DAL,7,0,0.487179487,0.294871795,63,221,341,821,222,36,798,1,3,274,1,6,0
1977,CHI,3,1,0.5375,0.325,63,230,220,1104,238,58,1068,0,3,292,1,6,1
1990,NYI,4,1,0.475,0.3875,73,223,290,1777,279,77,1737,0,5,278,1,6,0
1984,LAK,5,0,0.55,0.2875,59,339,326,1265,298,74,1219,0,2,365,1,6,1
1991,PHI,5,0,0.4625,0.4125,76,252,273,1945,240,67,1856,0,3,258,1,6,0
1992,CAL,5,0,0.4625,0.3875,74,322,282,2643,286,85,2385,0,3,300,1,6,1
2007,EDM,5,0,0.524390244,0.390243902,71,235,251,1285,192,53,1263,0,2,232,3,6,0
2011,OTT,5,0,0.487804878,0.390243902,74,249,240,1149,184,45,982,1,4,238,3,6,1
1985,NYI,3,1,0.425,0.5,86,327,284,1516,332,71,1401,0,2,309,2,6,1
2006,CBS,3,0,0.524390244,0.426829268,74,201,249,1416,203,60,1214,1,5,268,1,6,0
1979,DAL,4,0,0.5,0.35,68,311,253,1102,241,61,984,0,4,284,2,6,1
1986,TOR,4,1,0.6,0.3125,57,286,319,1716,287,60,1660,0,3,382,1,6,1
2000,NAS,4,0,0.487804878,0.341463415,70,186,200,946,199,41,882,0,3,233,1,6,0
2002,NAS,4,0,0.5,0.341463415,69,183,206,1071,192,47,942,0,5,223,1,6,0
